geneid	chr	s1	s2
ENSG00000007968	1	23832922	23857712
ENSG00000008018	6	170844205	170862429
ENSG00000008083	6	15246527	15522252
ENSG00000008086	X	18443703	18671749
ENSG00000008128	1	1634169	1655766
ENSG00000008130	1	1682671	1711896
ENSG00000008226	3	38080696	38165516
ENSG00000008256	7	6201407	6312275
ENSG00000008277	7	87563458	87832204
ENSG00000008282	7	105730949	105753022
ENSG00000008283	17	61509665	61523739
ENSG00000008294	17	49039535	49198226
ENSG00000008300	3	48673902	48700348
ENSG00000008311	7	121715701	121784334
ENSG00000008323	12	6419602	6437672
ENSG00000008324	3	42623332	42636606
ENSG00000008382	19	4343524	4360083
ENSG00000008394	12	16500076	16762193
ENSG00000008405	12	107385142	107487607
ENSG00000008441	19	13106422	13209610
ENSG00000008513	8	134467091	134584183
ENSG00000008516	16	3096682	3110727
ENSG00000008517	16	3115298	3131908
ENSG00000008710	16	2138711	2185899
ENSG00000008735	22	51039114	51052409
ENSG00000008838	17	38175350	38217468
ENSG00000008853	8	22844930	22877712
ENSG00000008869	2	37195526	37311485
ENSG00000008952	3	169684423	169716161
ENSG00000008988	8	56979854	56987069
ENSG00000009307	1	115259534	115301297
ENSG00000009335	7	156931607	157062066
ENSG00000009413	6	111620234	111804918
ENSG00000009709	1	18957500	19075360
ENSG00000009724	1	11086580	11107290
ENSG00000009765	6	150690028	150727105
ENSG00000009780	1	28052490	28089633
ENSG00000009790	1	209929377	209955668
ENSG00000009830	14	77741299	77787227
ENSG00000009844	6	142468367	142545826
ENSG00000009954	7	72854728	72936608
ENSG00000010017	6	13621730	13711796
ENSG00000010030	6	36322419	36356164
ENSG00000010072	1	231472850	231490769
ENSG00000010165	1	171750788	171783163
ENSG00000010219	12	4671370	4723325
ENSG00000010244	17	30677136	30708905
ENSG00000010256	3	48636435	48648409
ENSG00000010270	7	38217824	38270272
ENSG00000010278	12	6308881	6347425
ENSG00000010292	12	6602522	6641121
ENSG00000010295	12	6647541	6665239
ENSG00000010310	19	46171502	46186982
ENSG00000010318	3	52444673	52457657
ENSG00000010322	3	52489134	52527087
ENSG00000010327	3	52529354	52558511
ENSG00000010361	19	50310126	50320633
ENSG00000010404	X	148558521	148615470
ENSG00000010438	9	33750515	33799230
ENSG00000010539	16	3272325	3286221
ENSG00000010610	12	6896024	6929974
ENSG00000010626	12	6982733	7023407
ENSG00000010671	X	100604435	100641183
ENSG00000010704	6	26087509	26098571
ENSG00000010803	1	41492872	41707826
ENSG00000010810	6	111981535	112194655
ENSG00000010818	6	143072604	143266338
ENSG00000011007	1	24069645	24088549
ENSG00000011009	1	24117460	24122029
ENSG00000011021	1	11866207	11903201
ENSG00000011028	17	60704762	60770958
ENSG00000011105	12	3186521	3395730
ENSG00000011114	14	93703896	93799438
ENSG00000011132	19	3750817	3761697
ENSG00000011143	17	56282803	56296966
ENSG00000011198	3	43731605	43775863
ENSG00000011201	X	8496915	8700227
ENSG00000011243	19	15490859	15529952
ENSG00000011258	17	49254786	49337524
ENSG00000011260	17	49337889	49375297
ENSG00000011275	7	5659678	5821370
ENSG00000011295	17	15902694	15948329
ENSG00000011304	19	797075	812327
ENSG00000011332	19	38701646	38720354
ENSG00000011347	11	61282785	61348620
ENSG00000011376	3	45429998	45590913
ENSG00000011405	11	17099277	17229530
ENSG00000011422	19	44150247	44174699
ENSG00000011426	7	36429415	36493400
ENSG00000011451	19	15532319	15560762
ENSG00000011454	9	125703112	125867145
ENSG00000011465	12	91539025	91576900
ENSG00000011478	19	46195741	46207247
ENSG00000011485	19	46850251	46896238
ENSG00000011523	2	65283500	65314138
ENSG00000011566	2	39476407	39664453
ENSG00000011590	19	36195429	36207940
ENSG00000011600	19	36395303	36399197
ENSG00000011638	16	21169698	21191937
ENSG00000011677	X	151334706	151619830
ENSG00000012048	17	41196312	41277500
ENSG00000012061	19	45910591	45982086
ENSG00000012124	19	35810164	35838258
ENSG00000012171	3	50304990	50314977
ENSG00000012174	X	21857754	21903542
ENSG00000012211	X	49031151	49042845
ENSG00000012223	3	46477136	46526724
ENSG00000012232	8	28457986	28613116
ENSG00000012660	6	53132196	53213947
ENSG00000012779	10	45869661	45941561
ENSG00000012822	12	54104903	54121529
ENSG00000012963	14	93673401	93695561
ENSG00000012983	14	50885219	51027844
ENSG00000013016	2	31456880	31492313
ENSG00000013275	19	40476912	40487348
ENSG00000013288	4	6576902	6625089
ENSG00000013306	17	42396993	42402238
ENSG00000013364	16	29831715	29859355
ENSG00000013374	7	151038785	151075535
ENSG00000013375	6	83870869	83903655
ENSG00000013392	6	83903098	83908651
ENSG00000013441	2	201717732	201729422
ENSG00000013503	12	106751436	106903976
ENSG00000013523	14	77253588	77292589
ENSG00000013561	5	141337893	141369856
ENSG00000013563	X	153629579	153640449
ENSG00000013573	12	31226779	31257725
ENSG00000013583	12	13127798	13153207
ENSG00000013588	12	13043716	13070871
ENSG00000013619	X	149529689	149682448
ENSG00000013725	11	60739115	60787849
ENSG00000013810	4	1723227	1746898
ENSG00000014123	6	96969471	97003152
ENSG00000014138	11	65029233	65073060
ENSG00000014164	8	144519825	144623623
ENSG00000014216	11	64948037	64979477
ENSG00000014257	3	132036211	132087142
ENSG00000014641	2	63815743	63834331
ENSG00000014824	4	41992489	42092474
ENSG00000014914	1	149900543	149908791
ENSG00000014919	10	101471601	101491857
ENSG00000015133	14	91737667	91884188
ENSG00000015153	12	42550906	42632151
ENSG00000015171	10	180405	300577
ENSG00000015285	X	48534985	48549818
ENSG00000015475	22	18216906	18257536
ENSG00000015479	5	138609441	138667360
ENSG00000015532	17	48423453	48440499
ENSG00000015676	7	44418720	44530479
ENSG00000016082	5	50678921	50690564
ENSG00000016391	3	53846362	53880417
ENSG00000016402	6	137321108	137366298
ENSG00000016602	1	87012761	87046437
ENSG00000016864	3	52728505	52740048
ENSG00000017260	3	130569439	130735556
ENSG00000017373	17	36686251	36762183
ENSG00000017427	12	102789645	102874423
ENSG00000017483	X	48316920	48328644
ENSG00000017621	X	49019061	49024822
ENSG00000017797	18	9475007	9538114
ENSG00000018189	4	71569921	71673032
ENSG00000018236	12	41086244	41466220
ENSG00000018280	2	219246752	219261617
ENSG00000018408	3	149235022	149454501
ENSG00000018510	2	178257372	178408564
ENSG00000018610	X	118672112	118699397
ENSG00000018699	2	32853099	33046118
ENSG00000018869	19	56887413	56904914
ENSG00000019102	11	124617368	124622134
ENSG00000019144	11	118477155	118528741
ENSG00000019186	20	52769988	52790512
ENSG00000019485	11	45115564	45247734
ENSG00000019549	8	49830249	49834299
ENSG00000019582	5	149781200	149792492
ENSG00000019991	7	81328322	81399754
ENSG00000019995	10	126630692	126676758
ENSG00000020129	1	36023074	36032875
ENSG00000020256	20	50668202	50820847
ENSG00000020426	14	61201460	61436671
ENSG00000020577	14	55033815	55260033
ENSG00000020633	1	25226002	25291612
ENSG00000020922	11	94152895	94227074
ENSG00000021300	11	73357223	73373864
ENSG00000021355	6	2832566	2842240
ENSG00000021574	2	32288680	32382706
ENSG00000021645	14	78708734	80330762
ENSG00000021762	11	3108346	3187969
ENSG00000021776	15	35147732	35262040
ENSG00000021826	2	211342406	211543831
ENSG00000022267	X	135229559	135293518
ENSG00000022277	20	55043647	55093943
ENSG00000022556	19	55464498	55512510
ENSG00000022567	8	142217265	142318404
ENSG00000022840	12	120971283	121015397
ENSG00000022976	14	102783714	102809044
ENSG00000023041	10	114190058	114206672
ENSG00000023171	11	123396344	123498482
ENSG00000023191	11	494512	507300
ENSG00000023228	2	206979541	207024327
ENSG00000023287	8	53535016	53658403
ENSG00000023318	9	102741461	102861322
ENSG00000023330	3	52232102	52248343
ENSG00000023445	11	102188215	102210134
ENSG00000023516	13	42846289	42897396
ENSG00000023572	1	193065598	193075244
ENSG00000023608	14	62229075	62263146
ENSG00000023697	12	16064106	16190220
ENSG00000023734	12	16035325	16056412
ENSG00000023839	10	101542489	101611949
ENSG00000023892	6	35265595	35289548
ENSG00000023902	1	150121373	150136916
ENSG00000023909	1	94350761	94374966
ENSG00000024048	6	42531800	42661242
ENSG00000024422	19	48216600	48246391
ENSG00000024526	1	68939835	68962904
ENSG00000024862	6	139094657	139114456
ENSG00000025039	6	90074355	90121989
ENSG00000025156	6	122720691	122754264
ENSG00000025293	20	34359896	34538303
ENSG00000025423	12	57145945	57181574
ENSG00000025434	11	47269851	47290396
ENSG00000025708	22	50964181	50968485
ENSG00000025770	22	50946645	50961901
ENSG00000025772	20	43570771	43589127
ENSG00000025796	6	108188960	108279393
ENSG00000025800	1	32573639	32642169
ENSG00000026025	10	17270258	17279592
ENSG00000026036	20	62290653	62330037
ENSG00000026103	10	90750414	90775542
ENSG00000026297	6	167342992	167370679
ENSG00000026508	11	35160417	35253949
ENSG00000026559	20	49620193	49639666
ENSG00000026652	6	161551011	161695093
ENSG00000026751	1	160709037	160724611
ENSG00000026950	6	26402465	26415444
ENSG00000027001	13	24304328	24463558
ENSG00000027075	14	61654277	62017694
ENSG00000027697	6	137518621	137540586
ENSG00000027847	5	177027101	177037348
ENSG00000027869	1	156776035	156786654
ENSG00000028116	2	58134786	58387055
ENSG00000028137	1	12227060	12269285
ENSG00000028203	12	95611522	95696566
ENSG00000028277	19	42590263	42700737
ENSG00000028310	5	850406	892939
ENSG00000028528	15	64386322	64438289
ENSG00000028839	6	134273308	134311570
ENSG00000029153	12	27485787	27576241
ENSG00000029363	6	136578001	136610989
ENSG00000029364	14	69864732	69929105
ENSG00000029534	8	41510739	41754280
ENSG00000029639	6	155578643	155635627
ENSG00000029725	17	5185558	5289129
ENSG00000029993	X	150148982	150159248
ENSG00000030066	11	47799639	47870107
ENSG00000030110	6	33540329	33548019
ENSG00000030419	2	213864429	214017151
ENSG00000030582	17	42422614	42430470
ENSG00000031003	5	137273649	137387650
ENSG00000031081	3	119013220	119139561
ENSG00000031691	6	49431091	49460820
ENSG00000031698	1	109756540	109780791
ENSG00000031823	19	5916150	5978153
ENSG00000032219	14	58765103	58840605
ENSG00000032389	2	3192696	3381653
ENSG00000032444	19	7598890	7626650
ENSG00000032742	13	21140585	21265503
ENSG00000033011	16	5083703	5137380
ENSG00000033030	12	122957417	122985518
ENSG00000033050	7	150904923	150924316
ENSG00000033100	7	150929575	150935908
ENSG00000033170	14	65877310	66210839
ENSG00000033178	4	68478370	68566897
ENSG00000033327	11	77926343	78129394
ENSG00000033627	17	40610862	40674629
ENSG00000033800	15	68346517	68483096
ENSG00000033867	3	27414214	27525911
ENSG00000034053	15	29129629	29410518
ENSG00000034063	19	4903092	4962165
ENSG00000034152	17	21187984	21218552
ENSG00000034239	8	49623348	49647870
ENSG00000034510	2	85132749	85133795
ENSG00000034533	3	130732719	130746493
ENSG00000034677	8	101269288	101348446
ENSG00000034693	6	143771944	143811147
ENSG00000034713	16	75600249	75611779
ENSG00000035115	2	217730	266398
ENSG00000035141	2	70523107	70529222
ENSG00000035403	10	75757872	75879918
ENSG00000035499	5	59892739	59996017
ENSG00000035664	15	64199235	64364232
ENSG00000035681	8	59496063	59572403
ENSG00000035687	1	244571796	244615436
ENSG00000035720	4	68424446	68473055
ENSG00000035862	17	76849059	76921469
ENSG00000035928	4	39289076	39367995
ENSG00000036054	3	99979844	100044095
ENSG00000036257	2	225334867	225450110
ENSG00000036448	8	1993155	2113475
ENSG00000036549	1	78028101	78149104
ENSG00000036672	11	119225925	119252436
ENSG00000037042	17	40811323	40819024
ENSG00000037241	5	172385732	172396774
ENSG00000037474	5	6599352	6633404
ENSG00000037637	1	16573334	16678949
ENSG00000037749	5	153418466	153600038
ENSG00000037757	19	13875346	13885096
ENSG00000037897	12	58162254	58166576
ENSG00000038002	4	178351924	178363657
ENSG00000038210	4	25162263	25280714
ENSG00000038219	4	13570362	13629347
ENSG00000038274	5	162930120	162946342
ENSG00000038295	4	166794410	167025047
ENSG00000038358	16	67906926	67918406
ENSG00000038382	5	14143811	14532235
ENSG00000038427	5	82767284	82878122
ENSG00000038532	16	11038345	11276046
ENSG00000038945	8	15965387	16424999
ENSG00000039068	16	68771128	68869451
ENSG00000039123	5	54603588	54721409
ENSG00000039139	5	13690440	13944652
ENSG00000039319	5	79703832	79775169
ENSG00000039523	16	67552321	67580691
ENSG00000039560	5	34656342	34832732
ENSG00000039650	19	50364461	50371166
ENSG00000040199	16	71671738	71758604
ENSG00000040275	5	169010638	169031782
ENSG00000040341	8	74332604	74659943
ENSG00000040487	1	19638820	19655794
ENSG00000040531	17	3539762	3564836
ENSG00000040608	22	20228938	20270769
ENSG00000040633	17	7138347	7143041
ENSG00000040933	2	99061317	99210853
ENSG00000041353	18	52385091	52562747
ENSG00000041357	15	78832747	78841604
ENSG00000041515	13	109248500	109860355
ENSG00000041802	3	194361517	194393206
ENSG00000041880	3	51976361	51982883
ENSG00000041982	9	117782806	117880536
ENSG00000041988	1	6684926	6695646
ENSG00000042062	20	49202645	49308065
ENSG00000042088	14	90421283	90511106
ENSG00000042286	10	71857979	71892690
ENSG00000042317	14	88851268	88936694
ENSG00000042429	11	93517393	93547861
ENSG00000042445	2	85569211	85581743
ENSG00000042493	2	85621871	85645555
ENSG00000042753	19	47341393	47354249
ENSG00000042781	1	215796236	216596738
ENSG00000042832	8	133879203	134147147
ENSG00000042980	8	24151553	24216531
ENSG00000043039	11	129245835	129322171
ENSG00000043093	3	182655862	182703741
ENSG00000043143	5	133860003	133918918
ENSG00000043462	5	169673241	169725231
ENSG00000043514	1	40306723	40349183
ENSG00000043591	10	115803806	115806667
ENSG00000044090	6	43005355	43021683
ENSG00000044115	5	137946656	138270723
ENSG00000044446	X	18910418	19002716
ENSG00000044459	9	17134980	17503921
ENSG00000044574	9	127997132	128003609
ENSG00000046604	18	29078006	29128971
ENSG00000046647	X	14026398	14048012
ENSG00000046651	X	13752832	13787480
ENSG00000046653	X	13789150	13956757
ENSG00000047056	10	1095478	1178237
ENSG00000047188	5	112849380	112930982
ENSG00000047230	X	16606126	16731059
ENSG00000047249	8	54628117	54756118
ENSG00000047315	4	57843888	57897334
ENSG00000047346	15	52873514	53002014
ENSG00000047365	4	35949843	36246131
ENSG00000047410	1	186280784	186344825
ENSG00000047457	3	148880197	148939842
ENSG00000047578	16	27561454	27791690
ENSG00000047579	6	15523032	15663289
ENSG00000047597	X	37545012	37591383
ENSG00000047617	12	5641035	6055398
ENSG00000047621	12	4596894	4647674
ENSG00000047634	X	17755588	17773105
ENSG00000047644	X	9983602	10112518
ENSG00000047648	X	11136239	11683821
ENSG00000047849	3	47892182	48130769
ENSG00000047932	6	117639374	117923691
ENSG00000048028	11	113668596	113746292
ENSG00000048052	7	18126572	19042039
ENSG00000048140	5	176074388	176086058
ENSG00000048162	5	175810949	175815976
ENSG00000048342	4	15471489	15603180
ENSG00000048392	8	103216730	103251346
ENSG00000048405	7	126986844	127071978
ENSG00000048471	16	12070594	12668146
ENSG00000048544	6	42174539	42185603
ENSG00000048649	11	77371041	77532063
ENSG00000048707	1	12290124	12572099
ENSG00000048740	10	11047259	11378674
ENSG00000048828	9	96214004	96328397
ENSG00000048991	2	136289025	136482840
ENSG00000049089	1	40766159	40783488
ENSG00000049130	12	88886570	88974628
ENSG00000049167	5	60169658	60240900
ENSG00000049239	1	9294834	9331396
ENSG00000049245	1	7831329	7841492
ENSG00000049246	1	7844380	7905237
ENSG00000049283	17	48609904	48621111
ENSG00000049319	2	31747550	31806136
ENSG00000049323	2	33172039	33624576
ENSG00000049449	11	31833939	32127301
ENSG00000049540	7	73442119	73484237
ENSG00000049541	7	73645829	73668774
ENSG00000049618	6	157099063	157531913
ENSG00000049656	5	1317859	1345214
ENSG00000049759	18	55711599	56068772
ENSG00000049768	X	49106897	49121288
ENSG00000049769	X	49126306	49157929
ENSG00000049860	5	73935848	74018472
ENSG00000049883	5	71616194	71656052
ENSG00000050030	X	73952684	74145282
ENSG00000050130	14	59951161	59972128
ENSG00000050165	11	11984653	12031316
ENSG00000050327	7	144052381	144077725
ENSG00000050344	7	26191860	26226745
ENSG00000050393	6	13786789	13814800
ENSG00000050405	12	50569571	50677329
ENSG00000050426	12	51441745	51454207
ENSG00000050438	12	51785101	51902980
ENSG00000050730	4	122052563	122148621
ENSG00000050748	5	179660143	179719099
ENSG00000050767	5	177664619	178017556
ENSG00000050820	16	75262928	75301951
ENSG00000051009	11	6232565	6255941
ENSG00000051108	16	56965960	56977798
ENSG00000051128	19	19040010	19052070
ENSG00000051180	15	40986972	41024354
ENSG00000051341	3	121150278	121264853
ENSG00000051382	3	138372860	138553780
ENSG00000051523	16	88709691	88717560
ENSG00000051596	5	175344876	175461683
ENSG00000051620	6	138724668	138743334
ENSG00000051825	12	123636867	123728561
ENSG00000052126	12	19282648	19529334
ENSG00000052344	16	31142756	31147083
ENSG00000052723	1	115312100	115323306
ENSG00000052749	10	99116115	99161127
ENSG00000052795	4	159690290	159829201
ENSG00000052802	4	166248775	166264312
ENSG00000052841	11	43380482	43516483
ENSG00000053108	5	132532147	132948255
ENSG00000053254	14	89591215	90085493
ENSG00000053371	1	19630459	19638640
ENSG00000053372	1	19578033	19586622
ENSG00000053438	20	36149617	36152092
ENSG00000053501	19	17326155	17330638
ENSG00000053524	3	182895831	183146566
ENSG00000053702	12	2934514	2944710
ENSG00000053747	18	21269407	21535030
ENSG00000053770	14	57735627	57756797
ENSG00000053900	4	25378835	25420120
ENSG00000053918	11	2465914	2870339
ENSG00000054116	1	36602173	36615098
ENSG00000054118	1	36690017	36770958
ENSG00000054148	9	139743176	139745488
ENSG00000054179	9	139942550	139948497
ENSG00000054219	2	160628362	160761260
ENSG00000054267	1	235294949	235491534
ENSG00000054277	1	241753404	241840678
ENSG00000054282	1	243419320	243663394
ENSG00000054392	1	210501596	210849638
ENSG00000054523	1	10270863	10441661
ENSG00000054598	6	1610681	1614127
ENSG00000054611	22	47158518	47571336
ENSG00000054654	14	64319683	64693165
ENSG00000054690	14	68000018	68056329
ENSG00000054793	20	50213053	50385173
ENSG00000054965	11	73111532	73309234
ENSG00000054967	11	73087309	73108519
ENSG00000054983	14	88304164	88460009
ENSG00000055044	2	203130439	203168389
ENSG00000055070	1	16679070	16724640
ENSG00000055130	7	148395006	148498128
ENSG00000055147	5	153369688	153418496
ENSG00000055163	5	156693089	156822606
ENSG00000055208	6	149539777	149732749
ENSG00000055211	6	149887430	149912884
ENSG00000055332	2	37326353	37384208
ENSG00000055483	17	76783463	76837523
ENSG00000055609	7	151832010	152133090
ENSG00000055732	1	85483765	85514182
ENSG00000055917	2	20448452	20551995
ENSG00000055950	10	102729215	102747272
ENSG00000056050	4	170650616	170679104
ENSG00000056097	5	32354456	32444867
ENSG00000056277	X	129336685	129402873
ENSG00000056558	9	123664671	123691451
ENSG00000056586	9	125606835	125667620
ENSG00000056661	17	36890150	36906070
ENSG00000056736	3	53880607	53899827
ENSG00000056972	6	111877657	111927481
ENSG00000056998	X	2746829	2800859
ENSG00000057019	3	98514785	98620533
ENSG00000057149	18	61322431	61329197
ENSG00000057252	1	179262925	179327815
ENSG00000057294	12	32943679	33049774
ENSG00000057608	10	5807186	5884095
ENSG00000057657	6	106534195	106557814
ENSG00000057663	6	106632351	106773666
ENSG00000057704	12	94960900	95044338
ENSG00000057757	1	24104895	24114722
ENSG00000057935	2	42721709	42984087
ENSG00000058056	3	179370543	179507189
ENSG00000058063	3	182511288	182639423
ENSG00000058085	1	183155373	183214035
ENSG00000058091	7	90095738	90839905
ENSG00000058262	3	127770484	127790526
ENSG00000058272	12	80167343	80329240
ENSG00000058335	15	79252289	79383115
ENSG00000058453	1	17066768	17299474
ENSG00000058600	16	22308730	22346424
ENSG00000058668	1	203595689	203713209
ENSG00000058673	1	203764782	203823252
ENSG00000058729	5	96496571	96518964
ENSG00000058799	1	54317392	54356407
ENSG00000058804	1	54231133	54304533
ENSG00000058866	3	185823457	186080026
ENSG00000059122	16	2961938	3001209
ENSG00000059145	16	1413206	1464752
ENSG00000059377	7	139476850	139720125
ENSG00000059378	7	139723544	139763521
ENSG00000059573	10	97365696	97416463
ENSG00000059588	1	234527059	234614849
ENSG00000059691	4	152591656	152682175
ENSG00000059728	2	70124820	70170077
ENSG00000059758	12	96672039	96794338
ENSG00000059769	9	114393632	114432508
ENSG00000059804	12	8071826	8088871
ENSG00000059915	10	104162376	104181296
ENSG00000060069	18	77439801	77514510
ENSG00000060138	12	10851683	10875911
ENSG00000060140	12	10771538	10826917
ENSG00000060237	12	861759	1020618
ENSG00000060339	10	70480769	70552134
ENSG00000060491	20	61436187	61445352
ENSG00000060558	19	3136191	3163767
ENSG00000060642	1	27113963	27124889
ENSG00000060656	1	29563028	29653325
ENSG00000060688	1	31732417	31769662
ENSG00000060749	11	32914724	33014862
ENSG00000060762	6	166778407	166796486
ENSG00000060971	3	38144620	38178733
ENSG00000060982	12	24964295	25102393
ENSG00000061273	12	48176505	48226915
ENSG00000061337	8	20103676	20161474
ENSG00000061455	5	122424816	122529960
ENSG00000061656	20	34203814	34208971
ENSG00000061676	2	183773843	183903586
ENSG00000061794	12	27863706	27909228
ENSG00000061918	4	156680144	156728743
ENSG00000061936	12	132195626	132284282
ENSG00000061938	3	195590235	195638816
ENSG00000061987	12	62860597	62991363
ENSG00000062038	16	68670092	68756519
ENSG00000062194	5	56469775	56560506
ENSG00000062282	11	75470557	75512579
